mode,n_features,max_depth,learning_rate,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,1,0.01,1000,20.316731916225066,18.019677445585508,21.128588152852984,18.891162384690126,0.17418440000028568
Calendar,1,1,0.1,1000,20.29735749627191,18.005993379407354,21.121621493479633,18.878099588151894,0.18871350000017628
Calendar,1,2,1e-05,50,21.9307645838366,19.061956659341643,22.481756721957815,19.882213437229375,0.06565760000012233
Calendar,1,2,0.0001,50,21.917779300633605,19.053045506105924,22.469796570784148,19.873890886316488,0.05633690000013303
Calendar,1,2,0.001,50,21.79411308019465,18.96853915776902,22.356132701305253,19.794536803658012,0.055993299999954615
Calendar,1,2,0.01,50,20.985499880057695,18.433565935015135,21.63124539946767,19.28093543653888,0.05392630000005738
Calendar,1,2,0.1,50,20.30359244509496,18.01110698638858,21.123177775815304,18.88308115351723,0.0513437999998132
Calendar,1,2,1e-05,100,21.92934275815285,19.060999476255503,22.480451959956945,19.881325052513567,0.06478599999991275
Calendar,1,2,0.0001,100,21.903545772943023,19.04325759565296,22.4566887332743,19.864758506068327,0.06435370000008334
Calendar,1,2,0.001,100,21.668160472775398,18.88306492802832,22.24071520087646,19.713623096741557,0.06310930000017834
Calendar,1,2,0.01,100,20.595608842692993,18.19519141526606,21.30466376267504,19.04413161923373,0.07585849999986749
Calendar,1,2,0.1,100,20.297412024385594,18.006168698325638,21.121448552165177,18.87843027525087,0.06751349999967715
Calendar,1,2,1e-05,200,21.92650093156706,19.059086361017076,22.477844335000942,19.87954875437183,0.07841340000004493
Calendar,1,2,0.0001,200,21.875402629360163,19.024042696167168,22.4308180320154,19.846737346616486,0.0870137000001705
Calendar,1,2,0.001,200,21.448339153715033,18.735134639826747,22.0410477727507,19.573524739023085,0.08317510000006223
Calendar,1,2,0.01,200,20.36715444305116,18.05394567853339,21.143563153766603,18.912058962206864,0.07666740000013306
Calendar,1,2,0.1,200,20.297134528552025,18.00551677772378,21.12202767284443,18.877898804713322,0.07593820000010965
Calendar,1,2,1e-05,300,21.923661538811928,19.057173588761632,22.475239242840274,19.877773586410665,0.09460300000000643
Calendar,1,2,0.0001,300,21.847852166555036,19.005212629681502,22.40550231697034,19.8290261062182,0.09647180000001754
Calendar,1,2,0.001,300,21.265590543820725,18.614416311500452,21.877156847830317,19.45800966026469,0.10002190000022892
Calendar,1,2,0.01,300,20.3239865463984,18.025309769589175,21.12579125732102,18.891646331106582,0.09834870000031515
Calendar,1,2,0.1,300,20.297132811974777,18.005509763716343,21.122048440620283,18.877881459841525,0.09525579999990441
Calendar,1,2,1e-05,400,21.9208245808332,19.055262947634862,22.47263668435578,19.87599961232042,0.1113746999999421
Calendar,1,2,0.0001,400,21.820741952621173,18.986727224275246,22.380616048632902,19.8116724989888,0.11849849999998696
Calendar,1,2,0.001,400,21.11386937334223,18.515717553094408,21.742990582391087,19.361788507854065,0.11784260000013091
Calendar,1,2,0.01,400,20.3113929184274,18.016426917445514,21.12442900264312,18.88655702071152,0.12300770000001648
Calendar,1,2,0.1,400,20.29713274515054,18.005508107544777,21.122050198095575,18.877876062568212,0.11421000000018466
Calendar,1,2,1e-05,500,21.91799005857633,19.053353008074318,22.47003666042783,19.874229034247698,0.12771090000023833
Calendar,1,2,0.0001,500,21.794143198279276,18.968582692793085,22.356164738626916,19.794582877348223,0.1390518000002885
Calendar,1,2,0.001,500,20.988066923533275,18.435203172137133,21.63345764149328,19.28253756462579,0.13550319999967542
Calendar,1,2,0.01,500,20.304500707621813,18.011712482409266,21.122995919999457,18.883287420146637,0.14211219999970126
Calendar,1,2,0.1,500,20.297132741112645,18.005507659344104,21.122050195138808,18.877874603112446,0.14108680000026652
Calendar,1,2,1e-05,700,21.912328325008264,19.04953827097534,22.46484421976083,19.87069754227995,0.1662080999999489
Calendar,1,2,0.0001,700,21.74239129322714,18.93336009642632,22.308663508090874,19.76126720891026,0.15741490000027625
Calendar,1,2,0.001,700,20.790919814306466,18.313752191101084,21.46532297695657,19.160398538525598,0.16892509999979666
Calendar,1,2,0.01,700,20.299295538523296,18.00798319438992,21.121362262852305,18.87999214765975,0.17141549999996641
Calendar,1,2,0.1,700,20.297132740955846,18.00550774767521,21.122050073340613,18.87787459706162,0.16216069999973115
Calendar,1,2,1e-05,1000,21.903854016187328,19.043829740725936,22.457074589917934,19.86540635802911,0.237847000000329
Calendar,1,2,0.0001,1000,21.66824852984079,18.883131925596665,22.240795237186063,19.713687057160627,0.22557359999973414
Calendar,1,2,0.001,1000,20.597730547083348,18.196480303568478,21.306274720549908,19.045299430880565,0.22649159999991753
Calendar,1,2,0.01,1000,20.297498156741085,18.006353875294103,21.12131946949725,18.878581185469166,0.21672320000016043
Calendar,1,2,0.1,1000,20.297132740955846,18.00550774767521,21.122050073340613,18.87787459706162,0.22451169999976628
Calendar,1,3,1e-05,50,21.93067622507938,19.061846603727023,22.481651980595288,19.882091209972515,0.05351939999991373
Calendar,1,3,0.0001,50,21.916941717419284,19.0525663766575,22.468961895932868,19.87343849577505,0.055583000000297034
Calendar,1,3,0.001,50,21.786017717756067,18.963911197423585,22.348129933462225,19.790156125725247,0.054362399999718036
Calendar,1,3,0.01,50,20.939267901249416,18.409139122179454,21.590670074366464,19.256262139857135,0.05951450000020486
Calendar,1,3,0.1,50,20.298820174784634,18.007719352838038,21.119344517550935,18.87825362450635,0.057115000000067084
Calendar,1,3,1e-05,100,21.92916607571352,19.06077945673935,22.480242512030475,19.88108059799983,0.06658699999979945
Calendar,1,3,0.0001,100,21.901868657785606,19.04228743518478,22.455013343024863,19.863822535665516,0.06749450000006618
Calendar,1,3,0.001,100,21.652974486038378,18.874655501163637,22.226045761383325,19.705536132933087,0.06717489999982718
Calendar,1,3,0.01,100,20.55530167352898,18.17128736414036,21.272810458183976,19.021405560601664,0.07609370000000126
Calendar,1,3,0.1,100,20.29715172408733,18.0056526521274,21.121704262639035,18.877825985623343,0.07083400000010442
Calendar,1,3,1e-05,200,21.926147707047267,19.0586462275203,22.47742557840393,19.879061675596308,0.09004090000007636
Calendar,1,3,0.0001,200,21.87208203692017,19.022135263676912,22.427498392637666,19.844875209238673,0.08472189999974944
Calendar,1,3,0.001,200,21.422497837118243,18.72060838855038,22.017194999772816,19.55975062515488,0.08654200000000856
Calendar,1,3,0.01,200,20.34565282615676,18.03956269827022,21.129887508313963,18.89945971270591,0.09087859999999637
Calendar,1,3,0.1,200,20.29713274459326,18.005505415724972,21.122046559628465,18.877869582306854,0.08881800000017392
Calendar,1,3,1e-05,300,21.923131912687307,19.056513117504288,22.474611316951794,19.877042968247384,0.12109779999991588
Calendar,1,3,0.0001,300,21.842902471748726,19.002354776768918,22.40055563751416,19.82627154303013,0.11453789999995934
Calendar,1,3,0.001,300,21.231376778722513,18.59525198903223,21.84628802607027,19.44000756816509,0.12695639999992636
Calendar,1,3,0.01,300,20.310861264889574,18.016675493455423,21.120400815119527,18.884788839312602,0.12107740000010381
Calendar,1,3,0.1,300,20.29713274087715,18.005509121257433,21.12205067815454,18.877876511503565,0.13345909999998185
Calendar,1,3,1e-05,400,21.920118693696168,19.05438169106583,22.47179972867801,19.875025454769375,0.13489390000040657
Calendar,1,3,0.0001,400,21.814219064784186,18.98295407313919,22.374109251840995,19.808044845425147,0.14217280000002575
Calendar,1,3,0.001,400,21.073041142758562,18.49339654568885,21.70673738807419,19.340198016749323,0.14231859999972585
Calendar,1,3,0.01,400,20.30231153149464,18.010757631306337,21.119282726658508,18.88054930997984,0.14203279999992446
Calendar,1,3,0.1,400,20.29713274087715,18.005509121257433,21.12205067815454,18.877876511503565,0.15784560000020065
Calendar,1,3,1e-05,500,21.91710805113605,19.05225137170625,22.46899081458608,19.873010192930487,0.15541959999973187
Calendar,1,3,0.0001,500,21.78607694091236,18.963967536434662,22.348192575388968,19.79021650230102,0.1559858999999051
Calendar,1,3,0.001,500,20.942009224890043,18.410826322882315,21.593061064499423,19.2579773812508,0.15423180000016146
Calendar,1,3,0.01,500,20.299168525341862,18.008121919693593,21.11924918787434,18.87858636246249,0.15588600000000952
