mode,n_features,layers,learning_rate,epochs,batch_size,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Fourier Ramps,1,"[30, 30]",0.001,5,2048,18.77525671045783,16.007466187377574,18.88635680214285,16.2786208888645,3.751180100021884
Fourier Ramps,1,"[30, 30]",0.01,5,2048,18.76169799131002,16.00098591317065,18.80203895197567,15.814322991669757,3.44706239993684
Fourier Ramps,1,"[30, 30]",0.1,5,2048,18.533130665777506,16.117320906995992,18.768559474033417,15.633866878402413,3.6314175999723375
Fourier Ramps,1,"[30, 30]",1e-05,10,256,21.320409706024982,17.28846957731158,25.153640275530677,24.264437861764062,9.67333020013757
Fourier Ramps,1,"[30, 30]",0.0001,10,256,18.764767982329126,15.98911712891291,18.802948252023697,15.867386757965951,10.108189600054175
Fourier Ramps,1,"[30, 30]",0.001,10,256,18.78138077690456,16.160041101188607,18.803627977909304,15.866192343510638,9.591870300006121
Fourier Ramps,1,"[30, 30]",0.01,10,256,16.771724604506286,14.570481037853773,106.87959682380608,108.07914207474363,9.939963599899784
Fourier Ramps,1,"[30, 30]",0.1,10,256,15.043086168108779,13.408824100973767,23.804078769462702,22.7569552491325,9.768697099993005
Fourier Ramps,1,"[30, 30]",1e-05,10,512,32.321371340438944,24.531058896176138,25.436973501290264,18.476417455669548,7.140031500020996
Fourier Ramps,1,"[30, 30]",0.0001,10,512,18.76835560431093,16.011365781481423,18.835029138889727,16.094486901099486,6.749917299952358
Fourier Ramps,1,"[30, 30]",0.001,10,512,18.764187142559226,16.04697436466143,18.803266859761017,15.800666487039619,7.789938899921253
Fourier Ramps,1,"[30, 30]",0.01,10,512,18.45075215623626,15.735758725996984,18.892599153701024,15.456586622225075,7.608938799938187
Fourier Ramps,1,"[30, 30]",0.1,10,512,15.403071580696189,13.82179893836177,24.9322856467128,23.957422821518076,6.91971809999086
Fourier Ramps,1,"[30, 30]",1e-05,10,1024,41.56106037361074,34.72404439506726,37.89228290199709,30.56754012568703,6.965305699966848
Fourier Ramps,1,"[30, 30]",0.0001,10,1024,19.352367583982183,16.357954555991743,21.33438392625161,19.93025756382784,7.052567200036719
Fourier Ramps,1,"[30, 30]",0.001,10,1024,18.776821814774557,16.11522505521087,18.83953268722331,16.12127559805688,7.188384199980646
Fourier Ramps,1,"[30, 30]",0.01,10,1024,18.749366513791205,15.85921989523441,19.33872380674325,15.347408974194646,6.93175800004974
Fourier Ramps,1,"[30, 30]",0.1,10,1024,17.329847803127496,14.723868197852397,18.962472927565738,15.413670496565565,6.829084099968895
Fourier Ramps,1,"[30, 30]",1e-05,10,2048,43.952013456781174,37.48583665237634,40.94355087942802,34.07840071463445,5.752060499973595
Fourier Ramps,1,"[30, 30]",0.0001,10,2048,20.723649837922622,17.16962186358791,25.304990049576045,24.43859148014664,5.796047500101849
Fourier Ramps,1,"[30, 30]",0.001,10,2048,18.765526955388776,15.9464830129144,18.802862532893595,15.803627192725214,6.178161300020292
Fourier Ramps,1,"[30, 30]",0.01,10,2048,18.752647339146304,15.99902459572803,18.94852409409387,15.475172828304038,5.869538400089368
Fourier Ramps,1,"[30, 30]",0.1,10,2048,18.768561464669844,15.91336876716258,18.80810038020493,15.747451830143383,5.713620700174943
Fourier Ramps,1,"[30, 30]",1e-05,15,256,19.978758542541826,16.75607930055665,23.477361722836175,22.409821573299215,15.151307999854907
Fourier Ramps,1,"[30, 30]",0.0001,15,256,18.76391082050643,15.971607106398455,18.80280536015402,15.837189390576393,14.417328499956056
Fourier Ramps,1,"[30, 30]",0.001,15,256,18.75844794943603,15.982552432381933,18.891546960029444,15.52707896746207,14.767085900064558
Fourier Ramps,1,"[30, 30]",0.01,15,256,15.331865720098564,13.298486037288956,69.18182346285127,68.40042488639956,14.197445899946615
Fourier Ramps,1,"[30, 30]",0.1,15,256,16.12417107861529,14.24243512258036,32.408845318663914,31.940705195910585,14.642315899953246
Fourier Ramps,1,"[30, 30]",1e-05,15,512,24.264908206571715,18.08330292775977,18.916381428788785,16.020342659423555,9.602698399918154
Fourier Ramps,1,"[30, 30]",0.0001,15,512,18.767038029611417,16.046702882549702,18.80936409156769,15.953004776811907,9.717739300103858
Fourier Ramps,1,"[30, 30]",0.001,15,512,18.759772238667836,15.980936550001108,18.82208832133642,15.675174677985822,9.704298099968582
