mode,n_features,max_depth,learning_rate,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,2,0.001,100,18.389930852138747,15.651007699774693,18.792820875636792,16.62871722661232,0.10068690008483827
Calendar,1,2,0.01,100,16.596554616727214,13.991202151222323,17.143859796185332,15.076233732434213,0.09595900005660951
Calendar,1,2,0.1,100,16.035508489333004,13.373461101531744,16.75541176766891,14.564062503210423,0.0969837000593543
Calendar,1,2,1e-05,200,18.817224583447974,16.042331145691435,19.20729065269127,16.99848095725139,0.13175630010664463
Calendar,1,2,0.0001,200,18.733249641935195,15.965163148802826,19.12543506598951,16.92585758378581,0.13265609997324646
Calendar,1,2,0.001,200,18.024368708849803,15.3176870339844,18.44205007529169,16.311108467801034,0.13626360008493066
Calendar,1,2,0.01,200,16.198732499147223,13.57872156306536,16.841561550279504,14.73462862543588,0.13252209988422692
Calendar,1,2,0.1,200,16.034627370123182,13.370969596583567,16.754792816581396,14.559194697706893,0.1398730999790132
Calendar,1,2,1e-05,300,18.812417113604873,16.03796713547657,19.202659001539438,16.99442927467446,0.17224520002491772
Calendar,1,2,0.0001,300,18.687664086331182,15.923347912905827,19.08111827409863,16.886520568552157,0.17364230006933212
Calendar,1,2,0.001,300,17.71948488550152,15.039853799583048,18.15294575749359,16.044982176860493,0.17416529986076057
Calendar,1,2,0.01,300,16.106947151412726,13.459850004608635,16.801195094609984,14.652630303571042,0.1770148000214249
Calendar,1,2,0.1,300,16.034618482438567,13.371011802100766,16.75472246298697,14.55905322711851,0.1697164000943303
Calendar,1,2,1e-05,400,18.807613294876887,16.033606528156994,19.19803139297431,16.99038066341069,0.2108549999538809
Calendar,1,2,0.0001,400,18.64286894507208,15.882288226252395,19.03761021332886,16.847824949368214,0.21702640014700592
Calendar,1,2,0.001,400,17.465807484923182,14.808004897153454,17.91466488788558,15.821709451220617,0.21807519998401403
Calendar,1,2,0.01,400,16.080251836017467,13.420604213265205,16.795882335910672,14.625025994318738,0.21038629999384284
Calendar,1,2,0.1,400,16.034618009043992,13.371023466104612,16.75471251482955,14.559035635793945,0.20897800009697676
Calendar,1,2,1e-05,500,18.80281313006242,16.02924872495668,19.193407829919956,16.986334049775483,0.2534938999451697
Calendar,1,2,0.0001,500,18.59885817579404,15.841989738803125,18.99491404482274,16.809804613059942,0.24198570009320974
Calendar,1,2,0.001,500,17.25487310899903,14.613641553954087,17.7187936734184,15.635865374414415,0.2500270998571068
Calendar,1,2,0.01,500,16.05810568929494,13.398835049011742,16.777174704697845,14.600633562898421,0.25550529989413917
Calendar,1,2,0.1,500,16.03461798372193,13.371023872043548,16.754706969060965,14.559028559142353,0.24308939999900758
Calendar,1,2,1e-05,700,18.7932237733713,16.02054370591885,19.184172852041037,16.97825686353805,0.3181427998933941
Calendar,1,2,0.0001,700,18.513113085660052,15.763537235654548,18.91184775695081,16.735569116783463,0.3188308000098914
Calendar,1,2,0.001,700,16.926328718005497,14.307085146994917,17.424976722103573,15.354537271340229,0.31678470014594495
Calendar,1,2,0.01,700,16.041336951696366,13.38173069763424,16.76048614097634,14.576948981470602,0.31576450006105006
Calendar,1,2,0.1,700,16.034617982165578,13.37102387585761,16.754706217664065,14.559027357036685,0.3175839998293668
Calendar,1,2,1e-05,1000,18.77911280131472,16.007621279314606,19.17045144250496,16.966128008328873,0.4371859999373555
Calendar,1,2,0.0001,1000,18.390110193200908,15.651167975672342,18.79299295711517,16.628869098044856,0.45322369993664324
Calendar,1,2,0.001,1000,16.600094913127833,13.994783346055037,17.14644769600727,15.079055628071094,0.4283052000682801
Calendar,1,2,0.01,1000,16.035749969489142,13.37422173826624,16.75529478241634,14.565261550187044,0.4509316000621766
Calendar,1,2,0.1,1000,16.034617982165578,13.37102387585761,16.754706217664065,14.559027357036685,0.4205438999924809
