mode,n_features,max_depth,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Fourier Ramps,1,9,200,11.55425986764005,9.78757621308243,27.193115298798197,26.88475673073426,1.1979960999451578
Fourier Ramps,1,9,300,11.555666580820409,9.790418966898892,27.222195931602005,26.91889112518092,1.7823059000074863
Fourier Ramps,1,9,400,11.637746907248548,9.839295789666695,27.229592278660046,26.927570222929127,2.400597200030461
Fourier Ramps,1,9,500,11.593443080555698,9.80920804494311,27.1562682682952,26.841429711583753,2.9890348999761045
Fourier Ramps,1,9,700,11.716753283271622,9.887306133531844,27.168523706240293,26.855846765873416,4.132375200046226
Fourier Ramps,1,9,1000,11.551038925264157,9.789401751403187,27.241877397641964,26.94198704346322,5.94087400007993
Fourier Ramps,1,12,50,8.842126293886945,7.556910144572326,26.825471043679542,26.449860355442432,0.40371709992177784
Fourier Ramps,1,12,100,8.690618417813084,7.463636418333635,27.24766577188731,26.94877681795497,0.7442902999464422
Fourier Ramps,1,12,200,8.702121419466874,7.471046169364184,27.14757652000702,26.831201857156312,1.4806395000778139
Fourier Ramps,1,12,300,8.67161384050919,7.450697456706171,27.021182781965003,26.682063553875768,2.170458999928087
Fourier Ramps,1,12,400,8.73357778641138,7.497016672997861,27.145711804183232,26.82900735826334,2.940667600138113
Fourier Ramps,1,12,500,8.724934471151245,7.487180070575505,27.02698242875792,26.688921338848616,3.5917853000573814
Fourier Ramps,1,12,700,8.70113721467722,7.47254431870782,27.107304656271683,26.783773189635383,5.062455800129101
Fourier Ramps,1,12,1000,8.723995093481074,7.488204995145957,27.048815922093095,26.714730558444245,7.456311099929735
Fourier Ramps,1,15,50,6.632598756477558,5.437851465406606,26.80966127076769,26.43105570256359,0.4879638000857085
Fourier Ramps,1,15,100,6.489429566479878,5.322581705550018,27.04398130232728,26.709015598315517,0.9054064000956714
Fourier Ramps,1,15,200,6.608091929184022,5.409015909260925,26.814120246848805,26.436356630583674,1.7486338000744581
Fourier Ramps,1,15,300,6.556898879293467,5.367660496905115,26.763324884139895,26.3759348345787,2.6599963000044227
Fourier Ramps,1,15,400,6.566183012441451,5.376795004102617,27.04456165769386,26.709701739941693,3.512489299988374
Fourier Ramps,1,15,500,6.535266070325491,5.352659451158199,26.80180614845223,26.42171580103646,4.43605690007098
Fourier Ramps,1,15,700,6.549612764952954,5.361977798801273,26.92693711713833,26.570451015400266,6.130686700111255
Fourier Ramps,1,15,1000,6.542508069468736,5.35945459483186,26.897623512412505,26.535638253653115,8.608316999860108
Fourier Ramps,1,20,50,3.0007431829228337,2.1237159218923005,27.172327383985916,26.86032010262684,0.659557200036943
Fourier Ramps,1,20,100,3.063478397473568,2.1603318574323507,27.032703664861224,26.695683839050943,1.1079839998856187
Fourier Ramps,1,20,200,3.1577181917731787,2.2253049320495077,26.91436261576855,26.555524211614834,2.19505130010657
Fourier Ramps,1,20,300,3.172048257468205,2.226491591083231,26.873071834875336,26.50646437549058,3.3054255000315607
Fourier Ramps,1,20,400,3.2026999600926676,2.2470726924244544,26.8631376379816,26.49465518665986,4.350987900048494
Fourier Ramps,1,20,500,3.115071530627444,2.1985839099826348,26.87641916700985,26.51044277320925,5.388937500072643
Fourier Ramps,1,20,700,3.151407441733389,2.215023052086982,26.88354229497637,26.518907031240445,7.679368300130591
Fourier Ramps,1,20,1000,3.204293831290198,2.245440602806122,26.86062988211515,26.49167357406828,10.559842499904335
Fourier Ramps,1,30,50,0.9281705776927344,0.6575646707992164,26.79379551996734,26.41218998044869,0.7474345001392066
Fourier Ramps,1,30,100,0.8895292201836851,0.6413223282552039,26.934868086647406,26.57985996188254,1.416036699898541
Fourier Ramps,1,30,200,0.8767339207318372,0.6364198956993897,26.974030223442373,26.626277265785554,2.5109179001301527
Fourier Ramps,1,30,300,0.8716728469711205,0.6342637577308858,26.843611739301036,26.471439422631633,3.667844200041145
Fourier Ramps,1,30,400,0.8669460420096324,0.6340799110467323,26.857114725482614,26.487493584935894,5.049007100053132
Fourier Ramps,1,30,500,0.8628017526206636,0.6308488142227751,26.85626858789521,26.486487439611956,6.104239800013602
Fourier Ramps,1,30,700,0.8602752638030237,0.6301938558139362,26.95125784873305,26.59929494738062,8.611458099912852
Fourier Ramps,1,30,1000,0.8594460582675648,0.6295335612662856,26.942527433840855,26.58894418937383,12.44552219985053
Fourier Ramps,2,3,50,13.279874254836786,11.271973877889119,14.034883692003875,11.666735975805304,0.411295099882409
Fourier Ramps,2,3,100,13.276540410065843,11.278175686776768,13.980594080407382,11.651153038910532,0.3881757000926882
Fourier Ramps,2,3,200,13.263214403148018,11.273900592687017,13.970196355562633,11.637419155076355,0.6864914000034332
Fourier Ramps,2,3,300,13.264083756269015,11.271519397263768,13.97021798505505,11.635616291457513,1.0210267999209464
Fourier Ramps,2,3,400,13.271760758439658,11.279077454386659,13.972569340799499,11.637253064441616,1.3475411001127213
Fourier Ramps,2,3,500,13.265674125713828,11.270939669253707,13.977182868330523,11.640075910168585,1.7170270001515746
Fourier Ramps,2,3,700,13.26457215745941,11.271145583323804,13.970286065152251,11.640753883370206,2.294321699999273
Fourier Ramps,2,3,1000,13.264250423102352,11.270468826776456,13.974139598337475,11.637533904246528,3.357657000189647
Fourier Ramps,2,6,50,11.254443972149158,9.806434335180397,14.150565260354803,11.61432642470009,0.29032479994930327
Fourier Ramps,2,6,100,11.245728610483333,9.803454720432923,14.244228100007014,11.599587521584198,0.5591943999752402
Fourier Ramps,2,6,200,11.23612797700097,9.795915513949321,14.052538047446884,11.508750736475928,1.0585824998561293
Fourier Ramps,2,6,300,11.23724817221569,9.798334641452323,14.002479127064161,11.460092164975677,1.590238600037992
Fourier Ramps,2,6,400,11.242334890476263,9.801690086864667,14.049548041189556,11.508555946215445,2.078523699892685
Fourier Ramps,2,6,500,11.243832209232753,9.80308602186996,14.0523489942257,11.487915670440945,2.5820917999371886
