mode,n_features,max_depth,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,2,1,50,16.65170827800443,13.945078874881592,17.212322424550994,15.030172551707006,0.18775280006229877
Calendar,2,1,100,16.65170757690495,13.944595556558228,17.21198714526821,15.029427575950683,0.3413652000017464
Calendar,2,1,200,16.65170773542559,13.944273645904756,17.21186022842783,15.02899808606018,0.6291799999307841
Calendar,2,1,300,16.651707392249705,13.944167665356618,17.211610266239816,15.028712456638946,0.9262991000432521
Calendar,2,1,400,16.65170731966203,13.944101757053792,17.211503275158886,15.028568327352474,1.229823000030592
Calendar,2,1,500,16.65170732355247,13.944106156084402,17.211510092601646,15.02857772342474,1.5378597998060286
Calendar,2,1,700,16.65170725487059,13.943944098709753,17.21129661800065,15.028257673507017,2.1506652999669313
Calendar,2,1,1000,16.6517074378082,13.944192991832322,17.211658809153075,15.02877298381526,3.0905620001722127
Calendar,2,2,50,14.702136956531735,12.420859189636758,15.455571995081248,13.649310245223942,0.194379499880597
Calendar,2,2,100,14.704491418948614,12.423135076415468,15.459300709949416,13.650778847838845,0.36904880008660257
Calendar,2,2,200,14.703650334603887,12.421813062641027,15.457341159759322,13.649200881453677,0.682564000133425
Calendar,2,2,300,14.702914953249799,12.420858415179922,15.455859319385358,13.64823192152594,1.0316767999902368
Calendar,2,2,400,14.702027591134463,12.41979546649767,15.454447267954157,13.64752076677288,1.3999779999721795
Calendar,2,2,500,14.701610948301107,12.419361952497422,15.453759342241696,13.647375655216356,1.7095226000528783
Calendar,2,2,700,14.70223538144072,12.419738654101051,15.454397513814207,13.64717942892291,2.3392358999699354
Calendar,2,2,1000,14.702480132580158,12.420261319784945,15.455117167628597,13.647796070711028,3.860675800126046
Calendar,2,3,50,14.006766161487574,11.943439386013312,14.961248403480774,13.210438908124079,0.23890240001492202
Calendar,2,3,100,14.007286557281603,11.943896705666802,14.962979387018441,13.211593637029608,0.4379481999203563
Calendar,2,3,200,14.004362191102222,11.94170506866188,14.959112828113854,13.20906841282973,0.811683899955824
Calendar,2,3,300,14.003954748150898,11.941195293217167,14.958007854382947,13.208218152854412,1.2006606000941247
Calendar,2,3,400,14.00374084497712,11.940940628419204,14.957178061913481,13.207658576446569,1.5764433001168072
Calendar,2,3,500,14.003248209356755,11.940716931850034,14.95652797722628,13.207366135382003,2.0875307999085635
Calendar,2,3,700,14.005271227984355,11.941584007936592,14.958354022709143,13.208091794382545,2.721519700018689
Calendar,2,3,1000,14.006132386796535,11.942375040809324,14.959615646503744,13.209104222050067,3.9636987999547273
Calendar,2,6,50,13.5752085388289,11.650830927587641,14.621138139638783,12.947337379573426,0.28026369982399046
Calendar,2,6,100,13.574986158292294,11.650665467051658,14.620856621309178,12.946966883628427,0.45246100006625056
Calendar,2,6,200,13.574943287104668,11.650157213702192,14.62056310378894,12.94633382373144,0.8630778000224382
Calendar,2,6,300,13.574853988442186,11.649801826085154,14.620223879621005,12.945947535624214,1.2706222000997514
Calendar,2,6,400,13.574909484109272,11.649768189502193,14.620185543483862,12.945967384524376,1.7273830999620259
Calendar,2,6,500,13.574909374799157,11.64978462823977,14.620160298271179,12.946012937943369,2.126112500205636
Calendar,2,6,700,13.574872664292146,11.64955895154494,14.620017912359609,12.945735461089583,2.8709177998825908
Calendar,2,6,1000,13.574918895292582,11.649876065093299,14.620568531524732,12.946323254269485,4.262597299879417
Calendar,2,9,50,13.52876887716276,11.622455451896839,14.575926945921797,12.919078438893145,0.2744338000193238
Calendar,2,9,100,13.528579908933903,11.622320002428111,14.575592848817305,12.918840610655039,0.525815200060606
Calendar,2,9,200,13.528447466838479,11.621675666792202,14.574842474608596,12.918035857228391,0.9484363999217749
Calendar,2,9,300,13.528482209520584,11.621378709240364,14.574795787698168,12.917846372161204,1.486858099931851
Calendar,2,9,400,13.528463202706769,11.621410918394561,14.574776980719584,12.917880449626725,2.01274469983764
Calendar,2,9,500,13.528488895431746,11.621457023705345,14.574659275303103,12.917891985824426,2.310738099971786
Calendar,2,9,700,13.528480878472534,11.621290874887183,14.574479691301827,12.917599699091948,3.294327199924737
Calendar,2,9,1000,13.5285046081649,11.621599261147654,14.5749676589679,12.918100632312532,4.53673389996402
Calendar,2,12,50,13.526969764109634,11.622800230348243,14.575175710905203,12.92004547344588,0.28654929995536804
Calendar,2,12,100,13.526911462572796,11.622680224481622,14.574901024457315,12.919634222822465,0.5244306998793036
Calendar,2,12,200,13.526876049902922,11.62201372894956,14.574551271573124,12.918998648421784,1.0156807000748813
Calendar,2,12,300,13.526867864437792,11.621702843955788,14.574508939349773,12.918857686230764,1.4656620000023395
Calendar,2,12,400,13.52686129480878,11.621736878744562,14.574563977454112,12.918908775496543,1.8950999001972377
Calendar,2,12,500,13.526859802694535,11.621780198908167,14.57448931689965,12.918961430490167,2.53048610012047
Calendar,2,12,700,13.52685563201474,11.621601663528704,14.574282518075274,12.918665847533854,3.5603191999252886
Calendar,2,12,1000,13.526851927925932,11.62187723702731,14.574744539010064,12.91917333995785,5.098371799802408
Calendar,2,15,50,13.52696155652154,11.622809825219667,14.575181569025482,12.920057963061534,0.3162050999235362
Calendar,2,15,100,13.52690646786738,11.62268792298232,14.574911525924488,12.919643694920497,0.5619896999560297
Calendar,2,15,200,13.526873424947448,11.62202384249283,14.574572106284934,12.919011839420822,1.0409281998872757
Calendar,2,15,300,13.526864525475053,11.621711795240044,14.574559782435992,12.918887576570192,1.543793700169772
Calendar,2,15,400,13.526858563896118,11.621746465897017,14.57461504489223,12.91894268641111,1.8763815998099744
Calendar,2,15,500,13.526857914861978,11.621789932754647,14.574539158296172,12.9189938305965,2.263297899859026
Calendar,2,15,700,13.526853725229167,11.621612860420411,14.574324347329323,12.918695018782397,3.198431700002402
Calendar,2,15,1000,13.526850002558254,11.621891026923414,14.574788768166757,12.91920612270905,4.550178000004962
Calendar,2,20,50,13.52696155652154,11.622809825219667,14.575181569025482,12.920057963061538,0.2743414998985827
Calendar,2,20,100,13.52690646786738,11.62268792298232,14.57491152592449,12.919643694920497,0.4951599999330938
Calendar,2,20,200,13.526873424947448,11.62202384249283,14.574572106284934,12.919011839420822,0.9216199999209493
Calendar,2,20,300,13.526864525475053,11.621711795240046,14.574559782435992,12.918887576570192,1.3802219000644982
Calendar,2,20,400,13.52685856389612,11.621746465897017,14.57461504489223,12.91894268641111,1.8502325001172721
Calendar,2,20,500,13.526857914861978,11.621789932754643,14.574539158296172,12.9189938305965,2.2475507999770343
Calendar,2,20,700,13.526853725229167,11.621612860420411,14.574324347329323,12.918695018782397,3.2452357998117805
Calendar,2,20,1000,13.526850002558254,11.621891026923414,14.574788768166759,12.91920612270905,4.724289800040424
Calendar,2,30,50,13.52696155652154,11.622809825219667,14.575181569025482,12.920057963061538,0.28116790018975735
Calendar,2,30,100,13.52690646786738,11.622687922982317,14.57491152592449,12.919643694920499,0.4992295999545604
Calendar,2,30,200,13.526873424947448,11.62202384249283,14.574572106284934,12.919011839420822,0.9266222000587732
Calendar,2,30,300,13.526864525475053,11.621711795240046,14.574559782435992,12.918887576570192,1.4267452999483794
Calendar,2,30,400,13.526858563896118,11.621746465897017,14.57461504489223,12.918942686411114,1.8783245999366045
Calendar,2,30,500,13.526857914861978,11.621789932754643,14.574539158296172,12.9189938305965,2.2603160000871867
Calendar,2,30,700,13.526853725229167,11.621612860420411,14.574324347329322,12.918695018782397,3.298359900014475
Calendar,2,30,1000,13.526850002558254,11.621891026923414,14.574788768166757,12.91920612270905,4.738823299994692
Calendar,3,1,50,16.65170827800443,13.945078874881606,17.21232242455102,15.030172551707036,0.18786869989708066
Calendar,3,1,100,16.65170757690495,13.944595556558243,17.211987145268235,15.029427575950713,0.34938120003789663
Calendar,3,1,200,16.65170773542559,13.94427364590477,17.211860228427863,15.02899808606022,0.666784199886024
Calendar,3,1,300,16.6517073922497,13.944167665356646,17.211610266239845,15.028712456638987,1.1499457999598235
Calendar,3,1,400,16.65170731966203,13.944101757053811,17.211503275158922,15.028568327352524,1.3181372999679297
Calendar,3,1,500,16.65170732355247,13.944106156084434,17.2115100926017,15.028577723424807,1.557799099944532
Calendar,3,1,700,16.65170725487059,13.943944098709773,17.211296618000677,15.028257673507065,2.259826899971813
Calendar,3,1,1000,16.6517074378082,13.944192991832344,17.211658809153114,15.028772983815312,3.350463700015098
Calendar,3,2,50,14.196091513046152,11.626762803727825,15.22267684892909,13.234973404917483,0.21320150000974536
Calendar,3,2,100,14.196092450796995,11.627371598198637,15.223378354811802,13.23606632299326,0.4095936000812799
Calendar,3,2,200,14.196091582225392,11.626632605953766,15.222449839206732,13.234503700622113,0.7640305999666452
Calendar,3,2,300,14.196091114948842,11.626477477837167,15.222083575717196,13.234220824300872,1.2576820999383926
Calendar,3,2,400,14.196091001375924,11.626387481430205,15.22206746720034,13.234109554772052,1.550448999973014
Calendar,3,2,500,14.196091005006256,11.626394413957877,15.22214451678675,13.234209869665778,2.0095692998729646
Calendar,3,2,700,14.196090878554465,11.625989375204652,15.221697551580153,13.233456214436105,2.698359400033951
Calendar,3,2,1000,14.196090977638137,11.62625517829477,15.222138943061703,13.234055276936543,3.690336599946022
Calendar,3,3,50,12.229829990980265,9.5818316401109,13.6086815927452,11.33068435721566,0.24045129981823266
Calendar,3,3,100,12.235678064352992,9.586104160732468,13.618416963894976,11.338218023992575,0.4434692000504583
Calendar,3,3,200,12.230008969004679,9.581760714803208,13.609897346017322,11.331021861872866,0.8149075999390334
Calendar,3,3,300,12.227662627494116,9.579950694854096,13.606020110838067,11.32792194063185,1.218737999908626
Calendar,3,3,400,12.226268698305075,9.578807749988043,13.603722119397185,11.325824743138355,1.6336167000699788
Calendar,3,3,500,12.22587482571636,9.578634170687337,13.60351738078923,11.325754552718772,2.03539100009948
Calendar,3,3,700,12.224528578268995,9.577248060162114,13.60060093944566,11.322937678826953,3.117385300109163
Calendar,3,3,1000,12.22523376478758,9.577774832667343,13.60181561285358,11.32401487723773,4.88725440017879
Calendar,3,6,50,8.494479838420641,6.641439355939253,9.675689766597381,7.863571086254197,0.38144699996337295
Calendar,3,6,100,8.489807811797137,6.6367502334932995,9.668335073664503,7.8550579505700036,0.7821949000936002
Calendar,3,6,200,8.49020771441009,6.637174499151024,9.668126890120094,7.855377451136297,1.308754300000146
Calendar,3,6,300,8.490753627561798,6.6373344979222635,9.666445794067462,7.853822539756681,1.8176917000673711
Calendar,3,6,400,8.490945411265917,6.637812325289587,9.66639329404069,7.853888770230945,2.4577289998997003
Calendar,3,6,500,8.491097002421101,6.637842889890972,9.666006846611713,7.853390039098416,3.2314766000490636
Calendar,3,6,700,8.491265198122512,6.638153295289527,9.667378962253114,7.854630728416892,4.582170999841765
Calendar,3,6,1000,8.491383326197882,6.638288262402652,9.668310728024233,7.855263218929018,6.454427199903876
Calendar,3,9,50,7.621787926529052,5.7077340252712405,8.807847198052148,6.866743320119004,0.42348589980974793
Calendar,3,9,100,7.620793903920005,5.706025297512186,8.805750520520299,6.861984479489881,0.7844235000666231
Calendar,3,9,200,7.620546106759629,5.70527818454789,8.805191696863202,6.861434723173038,1.5005407000426203
Calendar,3,9,300,7.621395071561246,5.706507970126305,8.805157070340208,6.862331907176057,2.1747461000923067
Calendar,3,9,400,7.621127077366771,5.7060943924026475,8.804809669605243,6.862119071695565,3.3029770001303405
Calendar,3,9,500,7.6213726155018735,5.706054256443055,8.804575016314693,6.8614263589029125,4.192490800051019
Calendar,3,9,700,7.620862650635412,5.705713434096167,8.804594945277698,6.8615262148744405,6.118634500075132
Calendar,3,9,1000,7.620583676245454,5.705509930225999,8.80491136562063,6.861602979381748,8.737977199954912
Calendar,3,12,50,7.3864199852601615,5.430558690276041,8.560801674906296,6.580070545676314,0.5390657999087125
Calendar,3,12,100,7.386398430747933,5.430016887371096,8.559871293244795,6.578111098802703,1.0393580999225378
Calendar,3,12,200,7.385778252283754,5.429689324140181,8.560143792185414,6.579123127534298,2.0727739001158625
Calendar,3,12,300,7.385983081523572,5.43037816179386,8.55996658390522,6.579651237260993,2.746292500058189
Calendar,3,12,400,7.385837193952912,5.430147773388399,8.559961075157114,6.579578954620548,3.455428199842572
Calendar,3,12,500,7.386171676864463,5.430240904606837,8.559750497799472,6.579033549291077,4.382303099846467
Calendar,3,12,700,7.386090119490145,5.430113086822201,8.559743384241125,6.578917014960601,6.664963099872693
Calendar,3,12,1000,7.385929116636337,5.429960284255504,8.560016464448028,6.579138064898861,9.016502199927345
Calendar,3,15,50,7.334283625559312,5.370272641910432,8.537734255044093,6.538617674532479,0.48896160000003874
Calendar,3,15,100,7.333746500420279,5.369414296798111,8.53754599123745,6.537186757460438,1.041749100200832
Calendar,3,15,200,7.333524657151881,5.36914200731433,8.537208985332557,6.537386870880903,1.9011969999410212
Calendar,3,15,300,7.33352235705177,5.369417169441913,8.536836568513962,6.537518251454073,2.794711000053212
Calendar,3,15,400,7.3334253386427015,5.369297796310542,8.536679580804057,6.5374099732018,3.763384599937126
Calendar,3,15,500,7.333400926026067,5.3692524321608746,8.53659281881436,6.537107133962823,4.733539100037888
Calendar,3,15,700,7.333353463260199,5.36917455309822,8.536345875161846,6.536649460279899,6.571874599903822
Calendar,3,15,1000,7.33334817935243,5.369183977708523,8.536640968277657,6.536864612382866,9.049938600044698
Calendar,3,20,50,7.327702020440953,5.363650885418125,8.531844305771331,6.530334076381409,0.5295975001063198
