mode,n_features,layers,learning_rate,epochs,batch_size,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,"[30, 30]",0.1,15,1024,20.345809476465558,18.076643113274613,21.196616755601603,18.982595141681397,3.7626941999997143
Calendar,1,"[30, 30]",1e-05,15,2048,53.93152327659498,46.75743628795645,53.27271936311727,45.72371019041335,3.395657399999436
Calendar,1,"[30, 30]",0.0001,15,2048,34.624794579014946,25.323574763041485,33.843923077799616,24.0699645931127,3.3036056999999346
Calendar,1,"[30, 30]",0.001,15,2048,21.80444659485904,18.98208095395589,22.369499965229732,19.811272160642968,3.1077675999995336
Calendar,1,"[30, 30]",0.01,15,2048,20.50833742136937,18.183316228893233,21.301939926287126,19.0908971379872,3.177938200000426
Calendar,1,"[30, 30]",0.1,15,2048,20.496923353810814,17.877550324837678,21.20539467887456,18.69229662664234,3.137428799999725
Calendar,1,"[30, 30]",1e-05,20,256,36.66957082282475,27.163662032171022,35.87987419908558,25.87643531058793,5.7396695999996155
Calendar,1,"[30, 30]",0.0001,20,256,21.808359038303816,19.04691725616889,22.385285251903607,19.886364504038198,7.056566000000203
Calendar,1,"[30, 30]",0.001,20,256,20.45905826047534,18.157246338233605,21.27998214890172,19.073701405241756,5.9610985999997865
Calendar,1,"[30, 30]",0.01,20,256,20.502501246688333,18.44840565979865,21.427158202679006,19.46361722381684,5.758366899999601
Calendar,1,"[30, 30]",0.1,20,256,20.516644970574855,18.42166353510134,21.53841466239183,19.504189124618335,5.825771800000439
Calendar,1,"[30, 30]",1e-05,20,512,48.112335433215286,39.99117794430471,47.38581107069146,38.82298280993823,4.335692199999357
Calendar,1,"[30, 30]",0.0001,20,512,22.47132416745082,19.23909754440044,22.835780126643623,19.79435782497921,4.262408600000526
Calendar,1,"[30, 30]",0.001,20,512,20.45969243413163,18.05291242197164,21.23780074577131,18.92836081090823,4.38199910000003
Calendar,1,"[30, 30]",0.01,20,512,20.546308664925544,17.65078020147294,21.190046699717435,18.393612762561123,4.465105100000073
Calendar,1,"[30, 30]",0.1,20,512,20.4137112071495,18.526207556401133,21.42457403509737,19.58454879210701,4.311500800000431
Calendar,1,"[30, 30]",1e-05,20,1024,51.005102154271846,43.37531177887926,50.30750307099761,42.27948523738051,4.27912760000072
Calendar,1,"[30, 30]",0.0001,20,1024,23.772277472043466,19.86384903376877,23.941765213355655,20.08716293259081,4.348014299999704
Calendar,1,"[30, 30]",0.001,20,1024,21.190334979944513,18.626043611886573,21.847277232130494,19.498868274808366,4.281580499999109
Calendar,1,"[30, 30]",0.01,20,1024,20.458259006458476,18.072860351872833,21.278535052592776,18.98624360487662,4.216346199999862
Calendar,1,"[30, 30]",0.1,20,1024,20.405027264239678,18.359157992667207,21.269340323129896,19.30262234869137,4.362609099999645
Calendar,1,"[30, 30]",1e-05,20,2048,53.60302069929241,46.38138835196321,52.940481126698515,45.34027753281891,3.884092199999941
Calendar,1,"[30, 30]",0.0001,20,2048,31.24366299441952,22.391141863387073,30.530297097744196,21.31078926372063,3.807187299999896
Calendar,1,"[30, 30]",0.001,20,2048,21.789974659373897,18.991742781725865,22.364449578502033,19.82848017412286,5.049574499999835
Calendar,1,"[30, 30]",0.01,20,2048,20.47406779943836,18.09590233373474,21.29260934683973,19.012507233340703,3.9399647000000186
Calendar,1,"[30, 30]",0.1,20,2048,20.436336861943094,17.99797927710362,21.24134389531385,18.888216737964708,3.888148199999705
Calendar,1,"[50, 50]",1e-05,5,256,50.577816628776,42.876766135533536,49.87457399933621,41.771767840617066,2.677041900000404
Calendar,1,"[50, 50]",0.0001,5,256,23.311241239689938,19.64224530150314,23.544668409674998,19.97095828340532,2.629152000000431
Calendar,1,"[50, 50]",0.001,5,256,21.5477978896939,18.460650839915868,22.0542411606091,19.21961716338218,2.5931907000003775
Calendar,1,"[50, 50]",0.01,5,256,20.5463034205051,17.675069072521246,21.191338415470447,18.427481049887668,2.6057759000004808
Calendar,1,"[50, 50]",0.1,5,256,20.698216807155006,19.130175861413697,21.83466949829637,20.363601802279113,2.675307700000303
Calendar,1,"[50, 50]",1e-05,5,512,53.08529235755691,45.785492531342456,52.41407951926472,44.73459992988416,2.6048181999994995
Calendar,1,"[50, 50]",0.0001,5,512,25.259455275680892,19.77852594720013,25.031653638453,19.566974288486772,2.7055267000005188
Calendar,1,"[50, 50]",0.001,5,512,21.810104867236,19.112806921786735,22.413674617888915,19.975188601188297,2.610964800000147
Calendar,1,"[50, 50]",0.01,5,512,20.48477303748567,18.155200497776576,21.317146476159596,19.087281029761208,2.6036495999996987
Calendar,1,"[50, 50]",0.1,5,512,20.69116718251049,18.853385487493828,21.69932162323473,19.976089804280452,2.6444998999995732
Calendar,1,"[50, 50]",1e-05,5,1024,53.936027249535464,46.764729620296585,53.274929893526846,45.73272042539472,2.367562200000066
Calendar,1,"[50, 50]",0.0001,5,1024,38.663787490707215,29.20702863907297,37.86645170317367,27.907425296979877,2.3385216999995464
Calendar,1,"[50, 50]",0.001,5,1024,22.11571212090828,18.955272303248925,22.51879505567458,19.5987998724271,2.322969699999703
Calendar,1,"[50, 50]",0.01,5,1024,21.37389311291752,18.843698301309388,22.061839295476894,19.745487963114066,2.4055773999998564
Calendar,1,"[50, 50]",0.1,5,1024,20.52761578718578,17.98700422215134,21.290579935317773,18.843114055560527,2.3764541000000463
Calendar,1,"[50, 50]",1e-05,5,2048,54.84188967247976,47.80372270190208,54.19495948752072,46.78964272662385,1.9083967000005941
Calendar,1,"[50, 50]",0.0001,5,2048,50.275033129934656,42.52967168925647,49.57199954983993,41.41535192853634,1.9082853999998406
Calendar,1,"[50, 50]",0.001,5,2048,22.94235207890336,19.57208990090748,23.264409740155255,20.03154455509149,1.9786188999996739
Calendar,1,"[50, 50]",0.01,5,2048,21.92135971103105,19.097634738584528,22.473527406980587,19.918042955767188,1.95298559999992
Calendar,1,"[50, 50]",0.1,5,2048,21.829275048549153,18.878210744498585,22.317383386058342,19.629231999674033,1.9108157000000574
Calendar,1,"[50, 50]",1e-05,10,256,44.982563452779715,36.28890516593815,44.22113504794716,35.033404380702,4.032332800000404
Calendar,1,"[50, 50]",0.0001,10,256,22.122301063009004,19.096721027878758,22.565908008941012,19.78306792881855,4.025991900000008
Calendar,1,"[50, 50]",0.001,10,256,20.53307711421935,17.762637246755926,21.234472804518063,18.56745527894756,4.018944999999803
Calendar,1,"[50, 50]",0.01,10,256,20.580320114204433,17.614694696504344,21.19554484849507,18.342665770877527,4.138554299999669
Calendar,1,"[50, 50]",0.1,10,256,20.363145768915466,17.942880356583547,21.1847656450886,18.82568235822983,4.1111434999993435
Calendar,1,"[50, 50]",1e-05,10,512,50.911792571553455,43.268474014013414,50.21625462517986,42.16842278660967,3.923076299999593
Calendar,1,"[50, 50]",0.0001,10,512,23.38555515789225,19.712905160127075,23.61959405532958,20.034129054524634,3.885840900000403
Calendar,1,"[50, 50]",0.001,10,512,21.396053274494562,18.919232488190186,22.07439417145296,19.826880914695487,3.8760315999998056
Calendar,1,"[50, 50]",0.01,10,512,20.50124554118552,17.920178164721374,21.282127954219483,18.80087719915976,3.906030400000418
Calendar,1,"[50, 50]",0.1,10,512,20.398691268139494,18.04924771151604,21.202199770146287,18.933091452835132,3.929709600000024
Calendar,1,"[50, 50]",1e-05,10,1024,52.61998800736135,45.24753686121845,51.94138197233878,44.187603425943465,3.729167000000416
Calendar,1,"[50, 50]",0.0001,10,1024,25.245531856682636,19.777136513870527,25.02061875648943,19.56889414148077,3.5163824000001114
Calendar,1,"[50, 50]",0.001,10,1024,21.819137393509955,18.930062714431244,22.36572087302446,19.743266268580523,3.483424300000479
Calendar,1,"[50, 50]",0.01,10,1024,20.596866544399905,17.60572637283978,21.196577659284358,18.317230451013707,3.707394199999726
Calendar,1,"[50, 50]",0.1,10,1024,20.411514305144223,17.867913725111283,21.1516136265259,18.6955149761862,3.5341324000000895
Calendar,1,"[50, 50]",1e-05,10,2048,54.25329816809532,47.12923611407515,53.598217113747786,46.10278360625472,2.623389500000485
Calendar,1,"[50, 50]",0.0001,10,2048,40.36001722750372,31.0030650596201,39.56634729218658,29.696917645946968,2.640233299999636
Calendar,1,"[50, 50]",0.001,10,2048,22.060376260860085,19.086702075962652,22.525026159053716,19.801944163366972,2.5976356999999552
Calendar,1,"[50, 50]",0.01,10,2048,20.552235891866715,18.147800472477314,21.2973736415895,19.018171033493946,2.6228701
Calendar,1,"[50, 50]",0.1,10,2048,20.468265730410714,18.20692219304765,21.331641446492018,19.16000926043689,2.5903027999993355
Calendar,1,"[50, 50]",1e-05,15,256,37.389877376088506,27.902291813600232,36.59462140505968,26.611235199307988,5.998815799999647
Calendar,1,"[50, 50]",0.0001,15,256,21.899619114483734,19.144019199016313,22.468119017879243,19.977860508741056,5.84504890000062
Calendar,1,"[50, 50]",0.001,15,256,20.462477224781573,17.972652722801744,21.2340198125208,18.840525641405506,5.852778899999976
Calendar,1,"[50, 50]",0.01,15,256,20.55881681683392,18.62132875567095,21.574326627091008,19.717810064840123,5.7614737000003515
Calendar,1,"[50, 50]",0.1,15,256,20.379966143378525,18.24177487200351,21.200162977377193,19.139303207628185,5.669570699999895
Calendar,1,"[50, 50]",1e-05,15,512,47.33123054351846,39.06178614966957,46.59156765602532,37.87274682673849,5.495114199999989
Calendar,1,"[50, 50]",0.0001,15,512,22.532369194981914,19.282213655277474,22.89060955211248,19.823840559388046,5.359875699999975
Calendar,1,"[50, 50]",0.001,15,512,20.466821798090912,18.063065989950356,21.24915702270994,18.948247168422107,5.234680700000354
Calendar,1,"[50, 50]",0.01,15,512,20.457138045455718,18.162727826265463,21.305735820191273,19.106546415433833,5.360797399999683
Calendar,1,"[50, 50]",0.1,15,512,20.49288773577965,17.626153795111144,21.138926839870763,18.365899467443576,5.2694430999999895
Calendar,1,"[50, 50]",1e-05,15,1024,51.73408844270092,44.22266418756086,51.04527884001421,43.14296957296424,4.705338099999608
Calendar,1,"[50, 50]",0.0001,15,1024,23.97652063207973,20.00144254327132,24.13137452285582,20.199032750282182,4.732626900000469
Calendar,1,"[50, 50]",0.001,15,1024,21.50382674623093,18.991010419094362,22.173513187760875,19.896607942765172,4.616368799999691
Calendar,1,"[50, 50]",0.01,15,1024,20.472404296253696,18.015707418546747,21.27678964745879,18.915253464890323,4.7265754999998535
Calendar,1,"[50, 50]",0.1,15,1024,20.429347463814803,18.275728591901377,21.30643993759628,19.244857773543718,4.652143899999828
Calendar,1,"[50, 50]",1e-05,15,2048,54.167417962472356,47.02773198481293,53.5135624226894,45.997816734374574,3.2887026999997033
Calendar,1,"[50, 50]",0.0001,15,2048,28.862757370664667,21.107800558575356,28.245888732302745,20.274522170710256,3.275337999999465
Calendar,1,"[50, 50]",0.001,15,2048,21.804275283936864,19.12314422828454,22.413522889438312,19.99021078400582,3.2471382999992784
Calendar,1,"[50, 50]",0.01,15,2048,20.473056738327493,18.230906842595278,21.345822643642055,19.20114185386082,3.2948537000002034
Calendar,1,"[50, 50]",0.1,15,2048,20.482273315993297,17.808224689900733,21.213103684087685,18.632461142031705,3.3295083000002705
Calendar,1,"[50, 50]",1e-05,20,256,30.385376763331255,21.951515430036615,29.694462513803234,20.94412012193174,6.576130700000249
Calendar,1,"[50, 50]",0.0001,20,256,21.82587955355511,19.033583695512487,22.399401984044548,19.87079053236483,6.801680200000192
Calendar,1,"[50, 50]",0.001,20,256,20.483661706344126,18.38509383136313,21.399970302195776,19.395914552182962,6.555840999999418
Calendar,1,"[50, 50]",0.01,20,256,20.513424374616623,17.781524221437735,21.178027570596758,18.559990047118383,6.604428499999813
Calendar,1,"[50, 50]",0.1,20,256,20.67914134957549,18.994069931885758,21.685852559432178,20.115089437540732,6.763619899999867
Calendar,1,"[50, 50]",1e-05,20,512,43.40120640514269,34.43126569850146,42.62390519391065,33.14586438667531,6.700969299999997
Calendar,1,"[50, 50]",0.0001,20,512,22.092690243936428,19.084428789373316,22.543117741916664,19.780181158698674,6.6698868999992555
Calendar,1,"[50, 50]",0.001,20,512,20.471301607312547,17.939782176872267,21.225139602444166,18.79030655894213,9.247683100000359
