mode,n_features,layers,learning_rate,epochs,batch_size,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,"[50, 50]",1e-05,20,2048,41.13314081403581,37.38354486211565,48.82078171478128,46.52521068656017,4.1740296999923885
Calendar,1,"[50, 50]",5e-05,20,2048,31.937582162847264,27.713709917341017,40.660235418896455,38.200863136056135,4.252197699970566
Calendar,1,"[50, 50]",0.0001,20,2048,14.312796037220147,11.30760699609497,22.68233840964311,19.430029485314833,4.183613000088371
Calendar,1,"[50, 50]",0.0005,20,2048,12.477199221655082,10.350896835716405,17.66976907390239,14.269555870050718,4.350706700002775
Calendar,1,"[50, 50, 100]",1e-05,5,256,38.062757927679975,34.10706075486271,46.10437350086067,43.72127970587739,5.693427300080657
Calendar,1,"[50, 50, 100]",5e-05,5,256,12.551112459692602,10.380524973147693,17.830524617240947,14.436530080006557,5.001154700061306
Calendar,1,"[50, 50, 100]",0.0001,5,256,12.506835623399915,10.391983949763434,17.588978963802898,14.15871731277581,4.631220799987204
Calendar,1,"[50, 50, 100]",0.0005,5,256,12.423223875684718,10.332401787015257,17.55100131080305,14.143571174819773,5.45282339991536
Calendar,1,"[50, 50, 100]",1e-05,5,512,41.069781959670536,37.27433045755519,48.75845762147506,46.432787264526965,4.418931999942288
Calendar,1,"[50, 50, 100]",5e-05,5,512,22.5975818377594,18.090517437547955,31.972511326509,29.101433631446223,4.355133299948648
Calendar,1,"[50, 50, 100]",0.0001,5,512,12.574379643610257,10.384211827178651,17.88465268340991,14.51521171506634,4.347073999932036
Calendar,1,"[50, 50, 100]",0.0005,5,512,12.480749237141376,10.411264699192149,17.381813955438187,13.933574594176617,4.34613350010477
Calendar,1,"[50, 50, 100]",1e-05,5,1024,41.99720808143459,38.26631680904533,49.57721425335293,47.28055718860009,3.7740898000774905
Calendar,1,"[50, 50, 100]",5e-05,5,1024,36.73577992919687,32.651716668928806,44.918759339320495,42.472160201627354,3.7104875000659376
Calendar,1,"[50, 50, 100]",0.0001,5,1024,24.033310380371205,19.507077366376453,33.36594498028913,30.595541678938503,3.568224300048314
Calendar,1,"[50, 50, 100]",0.0005,5,1024,12.504820036590484,10.40910849483616,17.65029473347298,14.156853176498432,3.6591990999877453
