mode,n_features,max_depth,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,6,50,11.29200554525719,9.272080136343297,16.770037777028698,14.171759143916466,0.1360006999457255
Calendar,1,6,100,11.292094732817208,9.271552874459395,16.768078851856057,14.170780560933348,0.2759436999913305
Calendar,1,6,150,11.292162192243724,9.272361268238116,16.76721477773215,14.1695628439547,0.3926052999449894
Calendar,1,6,200,11.29202052725829,9.272075082142171,16.765195171395987,14.169091399396125,0.498528299969621
Calendar,1,8,50,11.289475808258564,9.267877676016338,16.768656210072187,14.174600675626625,0.13778599991928786
Calendar,1,8,100,11.28943162526124,9.267731526636554,16.76300387447777,14.172481111969818,0.26398199994582683
Calendar,1,8,150,11.289429293105536,9.26791997829214,16.767042013478317,14.175066928394894,0.4000285000074655
Calendar,1,8,200,11.289420343857264,9.267637293222156,16.76441738248368,14.1736607010916,0.517023199936375
Calendar,1,10,50,11.289452898584322,9.267530629704023,16.766743520594606,14.173412797602536,0.1369082999881357
Calendar,1,10,100,11.289409412461795,9.26748865644548,16.767291597811656,14.176649942823015,0.26679090003017336
Calendar,1,10,150,11.289406913931408,9.267319275228106,16.770979921424942,14.179445676960967,0.38307159999385476
Calendar,1,10,200,11.289405284776333,9.267521954187526,16.76511270776402,14.17451705223437,0.5532746999524534
Calendar,1,12,50,11.28945030262954,9.267384339636124,16.776800829589387,14.180396388686296,0.14296840003225952
Calendar,1,12,100,11.28941248758184,9.26751936824023,16.77057094371713,14.177599978975042,0.30356899998150766
Calendar,1,12,150,11.289414411331402,9.267486547327932,16.76936676284491,14.17665874158907,0.39075420005246997
Calendar,1,12,200,11.289399066584403,9.267498400271004,16.76852437321901,14.176518598914086,0.5105605999706313
Calendar,2,6,50,9.059062546429644,7.167678727257175,15.4631288131471,13.981297378675364,0.15471980010624975
Calendar,2,6,100,9.059577072056024,7.16810158285019,15.457880481846319,13.974164400084184,0.30676139995921403
Calendar,2,6,150,9.059806605116645,7.168372744422371,15.459643350368296,13.976032734712964,0.44049310008995235
Calendar,2,6,200,9.059619798463023,7.168616179696369,15.46133009360147,13.977932377743734,0.5917721000732854
Calendar,2,8,50,9.020580433701925,7.127054011720579,15.434013781641532,13.98276712382068,0.16204890003427863
Calendar,2,8,100,9.020692123957087,7.127476108084793,15.4354793971389,13.983520714486778,0.33756889996584505
Calendar,2,8,150,9.020791646324598,7.12713614885665,15.441249238051741,13.99027506806855,0.4738601000281051
Calendar,2,8,200,9.020394726959273,7.12678453869347,15.434194655971384,13.98355134951399,0.6135989000322297
Calendar,2,10,50,9.014495339300609,7.121829405335791,15.427169484654653,13.980515830836929,0.1779126999899745
Calendar,2,10,100,9.014284072318732,7.120633697615421,15.433773984310227,13.988495870755518,0.3176871999166906
Calendar,2,10,150,9.014271503415223,7.121064463976413,15.430087878767367,13.983528083153086,0.46826410002540797
Calendar,2,10,200,9.01426114569386,7.1210685997327685,15.432338663676337,13.98596049317476,0.6202096999622881
Calendar,2,12,50,9.014285380093403,7.120290071533717,15.433664797224784,13.988223492018466,0.16972100001294166
Calendar,2,12,100,9.014055238295821,7.119936396149988,15.434267426462949,13.989249456821721,0.3302880000555888
Calendar,2,12,150,9.014006604435947,7.1202478957700555,15.4341977657565,13.987971245307614,0.47035330010112375
Calendar,2,12,200,9.013977198334766,7.1200955853400565,15.434158792416161,13.9878696216303,0.626238000113517
