mode,n_features,max_depth,learning_rate,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,2,8,1e-05,100,14.15763976325018,12.12824898424103,18.601916019548323,14.535367965307614,0.104174799984321
Calendar,2,8,5e-05,100,14.124188936310325,12.096822076631096,18.580955786393805,14.521351093815632,0.12468539993278682
Calendar,2,8,0.0001,100,14.082588705662836,12.057738805740543,18.55499767824215,14.504068522837605,0.10426910000387579
Calendar,2,8,0.0005,100,13.760260080034909,11.755093816206644,18.35456414846583,14.374261739974207,0.12621919997036457
Calendar,2,8,1e-05,150,14.153443713287365,12.124300877203696,18.59929675375351,14.533606533319679,0.12825250008609146
Calendar,2,8,5e-05,150,14.103353747484729,12.07724477031893,18.567941780437717,14.512665886747003,0.1462963999947533
Calendar,2,8,0.0001,150,14.041321505675796,12.018982797301582,18.529246208814886,14.487047044736098,0.14293099998030812
Calendar,2,8,0.0005,150,13.567948880726124,11.574438242664069,18.2357488186795,14.30038395647529,0.1406016000546515
Calendar,2,8,1e-05,200,14.14925128148325,12.120356145384957,18.596684120895805,14.531855474685631,0.17647790000773966
Calendar,2,8,5e-05,200,14.08259726391448,12.057747393193619,18.554981125854457,14.504049449004292,0.17087319993879646
Calendar,2,8,0.0001,200,14.000313830611919,11.980471558345783,18.503685484377343,14.470230082305655,0.17793829995207489
Calendar,2,8,0.0005,200,13.382437343613592,11.400200841652655,18.12167531294274,14.231991751969254,0.15675730002112687
Calendar,2,10,1e-05,50,14.161831313351215,12.132205400390399,18.604514678803696,14.537117278923523,0.07897210004739463
Calendar,2,10,5e-05,50,14.145048728760939,12.116439345395355,18.59402876178863,14.530087202782846,0.09897519997321069
Calendar,2,10,0.0001,50,14.124139592175064,12.09680615047878,18.580978475422206,14.52137466554381,0.09374580008443445
Calendar,2,10,0.0005,50,13.95937636662837,11.942176864406925,18.47823699387108,14.453620180445743,0.09658260003197938
Calendar,2,10,1e-05,100,14.157620636059994,12.128254480790565,18.601868715864935,14.535340370825217,0.10956919996533543
Calendar,2,10,5e-05,100,14.12412025300325,12.096784103989311,18.580935257514913,14.52135596791144,0.1103356999810785
Calendar,2,10,0.0001,100,14.082517628742812,12.057734822593284,18.55498056474676,14.504081988320333,0.11683320009615272
Calendar,2,10,0.0005,100,13.7598905820429,11.755073517599811,18.35442937664314,14.374248817031507,0.11665950005408376
Calendar,2,10,1e-05,150,14.153414390141146,12.124308546744562,18.599224963259914,14.533564606267813,0.15000769996549934
Calendar,2,10,5e-05,150,14.103267147712906,12.07720406077035,18.567916808456506,14.512676238986769,0.15114800003357232
Calendar,2,10,0.0001,150,14.04119883470712,12.01896098947221,18.529211043572268,14.48706435517357,0.1558835000032559
